REP_PERIOD,FUND_TYP,COD_BUDGET,COD_FINA,NAME_FIN,ZAT_AMT,FAKT_AMT,CITY
2021-01-31,T,2.4552e+10,601200,"Розміщення бюджетних коштів на депозитах, придбання цінних паперів",-185023799,-185023799,Chernivtsi
2021-01-31,T,2.4552e+10,602000,Зміни обсягів бюджетних коштів,357000,88623492.74,Chernivtsi
2021-01-31,S,2.4552e+10,402201,Довгострокові зобов'язання,-37833300,0,Chernivtsi
2021-01-31,S,4.576e+09,402000,Погашення,-677145042,-56424569.67,Dnipro
2021-01-31,C,4.576e+09,602400,"Кошти, що передаються із загального фонду бюджету до бюджету розвитку (спеціального фонду)",-1894193357,-105754287.27,Dnipro
2021-01-31,T,4.576e+09,600000,Фінансування за активними операціями,0,-463177313.42,Dnipro
2021-01-31,T,4.576e+09,602200,На кінець періоду,0,780622669.71,Dnipro
2021-01-31,S,4.576e+09,602400,"Кошти, що передаються із загального фонду бюджету до бюджету розвитку (спеціального фонду)",1894193357,105754287.27,Dnipro
2021-01-31,T,4.576e+09,401101,Довгострокові зобов'язання,33004656,9807920,Dnipro
2021-01-31,S,4.576e+09,402101,Довгострокові зобов'язання,-312000000,-56424569.67,Dnipro
2021-01-31,T,4.576e+09,402101,Довгострокові зобов'язання,-312000000,-56424569.67,Dnipro
2021-01-31,T,4.576e+09,402102,Середньострокові зобов'язання,-365145042,0,Dnipro
2021-01-31,T,4.576e+09,602000,Зміни обсягів бюджетних коштів,0,-463177313.42,Dnipro
2021-01-31,S,4.576e+09,401000,Запозичення,33004656,9807920,Dnipro
2021-01-31,T,4.576e+09,602100,На початок періоду,0,239716880.27,Dnipro
2021-01-31,T,4.576e+09,602304,Інші розрахунки,0,77728476.02,Dnipro
2021-01-31,T,4.576e+09,401100,Внутрішні запозичення,33004656,9807920,Dnipro
2021-01-31,S,4.576e+09,402100,Внутрішні зобов'язання,-677145042,-56424569.67,Dnipro
2021-01-31,S,4.576e+09,602200,На кінець періоду,0,241201329.18,Dnipro
2021-01-31,S,4.576e+09,400000,Фінансування за борговими операціями,-644140386,-46616649.67,Dnipro
2021-01-31,T,4.576e+09,402100,Внутрішні зобов'язання,-677145042,-56424569.67,Dnipro
2021-01-31,T,4.576e+09,602300,Інші розрахунки,0,77728476.02,Dnipro
2021-01-31,S,4.576e+09,401100,Внутрішні запозичення,33004656,9807920,Dnipro
2021-01-31,S,4.576e+09,401101,Довгострокові зобов'язання,33004656,9807920,Dnipro
2021-01-31,S,4.576e+09,402102,Середньострокові зобов'язання,-365145042,0,Dnipro
2021-01-31,C,4.576e+09,600000,Фінансування за активними операціями,-1894193357,-562914966.21,Dnipro
2021-01-31,S,4.576e+09,602000,Зміни обсягів бюджетних коштів,1894193357,99737652.79,Dnipro
2021-01-31,S,4.576e+09,602100,На початок періоду,0,157456218.68,Dnipro
2021-01-31,C,4.576e+09,602200,На кінець періоду,0,539421340.53,Dnipro
2021-01-31,S,4.576e+09,602300,Інші розрахунки,0,77728476.02,Dnipro
2021-01-31,T,4.576e+09,400000,Фінансування за борговими операціями,-644140386,-46616649.67,Dnipro
2021-01-31,T,4.576e+09,401000,Запозичення,33004656,9807920,Dnipro
2021-01-31,T,4.576e+09,402000,Погашення,-677145042,-56424569.67,Dnipro
2021-01-31,C,4.576e+09,602000,Зміни обсягів бюджетних коштів,-1894193357,-562914966.21,Dnipro
2021-01-31,C,4.576e+09,602100,На початок періоду,0,82260661.59,Dnipro
2021-01-31,S,4.576e+09,602304,Інші розрахунки,0,77728476.02,Dnipro
2021-01-31,S,4.576e+09,600000,Фінансування за активними операціями,1894193357,99737652.79,Dnipro
2021-01-31,S,9.533e+09,401000,Запозичення,668170000,141925.61,Ivano-Frankivsk
2021-01-31,T,9.533e+09,402202,Середньострокові зобов'язання,-32000000,0,Ivano-Frankivsk
2021-01-31,T,9.533e+09,401102,Середньострокові зобов'язання,500000000,0,Ivano-Frankivsk
2021-01-31,S,9.533e+09,401200,Зовнішні запозичення,168170000,141925.61,Ivano-Frankivsk
